_RAJ2000;_DEJ2000;HIP;Vmag;Plx;BTmag;VTmag;SpType
deg;deg; ;mag;mas;mag;mag;
----------;----------;------;-----;-------;------;------;------------
  0,000899;  1,089009;     1; 9,10;   3,54; 9,643; 9,130;F5
  0,004265;-19,498840;     2; 9,27;  21,90;10,519; 9,378;K3V
  0,005024; 38,859279;     3; 6,61;   2,81; 6,576; 6,621;B9
  0,008629;-51,893546;     4; 8,06;   7,75; 8,471; 8,092;F0V
  0,009973;-40,591202;     5; 8,55;   2,87; 9,693; 8,656;G8III
  0,018693;  3,946458;     6;12,31;  18,80;      ;      ;M0V:
  0,022010; 20,036114;     7; 9,64;  17,74;10,542; 9,679;G0
  0,027343; 25,886461;     8; 9,05;   5,17;10,433; 9,151;M6e-M8,5e Tc
  0,035323; 36,585958;     9; 8,59;   4,81; 9,962; 8,711;G5
  0,036416;-50,866976;    10; 8,59;  10,76; 9,140; 8,630;F6V
  0,037336; 46,939997;    11; 7,34;   4,29; 7,446; 7,364;A2
  0,040900;-35,960225;    12; 8,43;   4,06;10,369; 8,588;K4III
  0,041702;-22,594705;    13; 8,80;   3,49;10,216; 8,887;K0III
  0,048422; -0,360450;    14; 7,25;   5,11; 8,812; 7,396;K0
  0,050362; 50,791187;    15; 8,60;   2,45;10,117; 8,739;K2
  0,050990;-40,192393;    17; 8,15;   6,15; 8,642; 8,187;F3V
  0,052497;-54,914363;    16;11,71;   0,53;      ;      ;
  0,052829; -4,053680;    18;11,03;  19,93;      ;      ;K5
  0,053309; 38,304050;    19; 6,53;   4,12; 7,739; 6,630;G5
  0,063046; 23,529228;    20; 8,51;  10,76; 9,074; 8,549;G0
  0,066388;  8,007234;    21; 7,55;   5,84; 9,413; 7,689;K2
  0,070106;-49,352266;    22; 8,69;   4,47; 9,919; 8,803;G8/K0III/IV
  0,074565; 13,312234;    23; 7,57;  12,21; 8,044; 7,606;F2V
  0,076387;-23,452695;    24; 9,05;   9,73; 9,662; 9,103;G0V
  0,079564;-44,290561;    25; 6,28;  13,74; 7,238; 6,375;G3IV
  0,084088;-13,393378;    26; 9,13;   9,19; 9,747; 9,179;F7V
  0,085910;-41,297813;    27; 9,32;   9,66;10,140; 9,389;G5V
